year,incident_zip,complaint_type,avg_job_time
2010,10001,Found Property,3145.0138817049806
2011,10001,Found Property,2756.5216139846743
2012,10001,Found Property,2445.270601851852
2013,10001,Found Property,1935.4114089912282
2014,10001,Found Property,1719.5654370590828
2010,10002,Found Property,3162.4211844135802
2011,10002,Found Property,2816.7099696180553
2012,10002,Found Property,2382.598699845679
2013,10002,Found Property,2044.6427767255896
2014,10002,Found Property,1672.0843873456793
2010,10003,Found Property,3100.3424591049375
2011,10003,Found Property,2712.9917983716473
2012,10003,Found Property,2427.0579461805555
2013,10003,Found Property,2000.5350303819446
2014,10003,Found Property,1454.1714795524688
2010,10004,Found Property,3060.340775462963
2011,10004,Found Property,2664.6407870370376
2012,10004,Found Property,2145.657666666667
2013,10004,Found Property,2015.977101851852
2014,10004,Found Property,1650.7528009259258
2010,10005,Found Property,3099.0310561342594
2011,10005,Found Property,2809.891858796296
2012,10005,Found Property,1877.0321273148147
2013,10005,Found Property,2088.9964660493824
2014,10005,Found Property,1727.6660069444445
2010,10006,Found Property,3008.8250228077336
2011,10006,Found Property,2868.9943842592593
2011,10006,Stalled Sites,2655.3289351851854
2012,10006,Found Property,2564.162800925926
2013,10006,Found Property,2159.5750057870373
2010,10007,Found Property,3193.502984182099
2011,10007,Found Property,2828.472702546296
2012,10007,Found Property,2420.0300535300926
2013,10007,Found Property,2042.805228587963
2014,10007,Found Property,1693.8414699074074
2010,10009,Found Property,3185.734406415344
2011,10009,Found Property,2843.801960978836
2012,10009,Found Property,2362.9963518518516
2013,10009,Found Property,2005.110575231481
2014,10009,Found Property,1667.6377099867725
2010,10010,Found Property,3141.185552799824
2011,10010,Found Property,2767.1858973765434
2012,10010,Found Property,2164.555622685185
2013,10010,Found Property,2016.9807508680556
2014,10010,Found Property,1350.9118074845678
2010,10011,Found Property,3144.930210849437
2011,10011,Found Property,2795.988287465706
2012,10011,Found Property,2279.0445855034727
2013,10011,Found Property,2034.03287109375
2014,10011,Found Property,1541.1868251424498
2010,10012,Found Property,2758.7308796296297
2011,10012,Found Property,2783.603042929293
2012,10012,Found Property,2424.159221230159
2013,10012,Found Property,1710.6851025132275
2017,10012,Graffiti,2201.0363189761306
2010,10013,Found Property,3100.1735551697534
2011,10013,Found Property,2790.555702614379
2012,10013,Found Property,2442.402634755291
2013,10013,Found Property,2064.914109848485
2014,10013,Found Property,1657.4568721064816
2010,10014,Found Property,3154.8795363136574
2011,10014,Found Property,2728.5359922138045
2012,10014,Found Property,2422.4388488247864
2013,10014,Found Property,2107.5031502525253
2014,10014,Found Property,1657.821394675926
2014,10015,Consumer Complaint,15.615127314814815
2010,10016,Found Property,3199.7881473765437
2011,10016,Found Property,2810.863373567019
2012,10016,Found Property,2453.294824245542
2013,10016,Found Property,2071.671169704861
2014,10016,Found Property,1480.3348353909466
2010,10017,Found Property,3103.5751819701645
2011,10017,Found Property,2763.812833543771
2012,10017,Found Property,2421.534254195602
2013,10017,Found Property,1749.0870965608462
2014,10017,Found Property,1661.9934749455335
2010,10018,Found Property,3164.4088527199074
2011,10018,Found Property,2792.351064814815
2012,10018,Found Property,2374.3859918981484
2013,10018,Found Property,1971.0061969521603
2014,10018,Found Property,1594.2103973765431
2010,10019,Found Property,3146.5435133406436
2011,10019,Found Property,2781.2196081961592
2012,10019,Found Property,2341.781890277778
2013,10019,Found Property,2060.0104166666665
2014,10019,Found Property,1669.451927083333
2010,10020,Found Property,3089.0838599537037
2012,10020,Found Property,2510.996724537037
2012,10020,Special Projects Inspection Team (SPIT),935.5911342592592
2014,10020,New Tree Request,413.22551215277775
2015,10020,Street Sign - Damaged,1105.9778472222222
2010,10021,Found Property,3139.41942616959
2011,10021,Found Property,2784.4737256944445
2012,10021,Found Property,2423.184016203704
2013,10021,Found Property,1815.5590899884257
2014,10021,Found Property,1676.315736882716
2010,10022,Found Property,3190.4017974537032
2011,10022,Found Property,2797.268067528736
2012,10022,Found Property,2396.6632297178135
2013,10022,Found Property,1864.4733975168353
2014,10022,Found Property,1550.873243634259
2010,10023,Found Property,3130.9281094195157
2011,10023,Found Property,2752.6054293430334
2012,10023,Found Property,2404.65675154321
2013,10023,Found Property,2078.9601598668983
2014,10023,Found Property,1454.8751195987654
2010,10024,Found Property,3136.9351099537034
2011,10024,Found Property,2811.231355452675
2012,10024,Found Property,2407.398144290123
2013,10024,Found Property,1787.3716589506173
2014,10024,Found Property,1664.6624131944443
2010,10025,Stalled Sites,3318.540011574074
2010,10025,Found Property,2942.239893162393
2011,10025,Found Property,2793.299510030864
2011,10025,Stalled Sites,2410.4910416666667
2012,10025,Found Property,2388.3211574074076
2010,10026,Found Property,2972.764375
2010,10026,Forensic Engineering,1379.2312881944445
2011,10026,Found Property,2811.2504436728395
2012,10026,Found Property,2429.6245177469136
2013,10026,Found Property,1977.9726273148149
2010,10027,Found Property,3056.5519367283946
2011,10027,Found Property,2728.3231327160497
2013,10027,Stalled Sites,2177.3988078703705
2013,10027,Found Property,2004.545441743827
2014,10027,Found Property,1624.5693132716049
2010,10028,Found Property,3003.7905160675377
2011,10028,Found Property,2812.884534143519
2012,10028,Found Property,2447.0685032894735
2013,10028,Found Property,2077.872074652778
2014,10028,Facades,1686.2772685185184
2010,10029,Found Property,3041.695775462963
2012,10029,Found Property,2385.090939429012
2013,10029,Found Property,2023.3789054232805
2014,10029,Found Property,1559.2233391203704
2015,10029,Found Property,1069.2358564814817
2010,10030,Forensic Engineering,1429.3308217592594
2010,10030,Special Projects Inspection Team (SPIT),760.8179320987653
2011,10030,Found Property,2698.858666087963
2012,10030,Stalled Sites,2276.877517361111
2016,10030,New Tree Request,1049.0226041666667
2010,10031,Found Property,3244.696782407407
2011,10031,Found Property,2894.0453549382714
2012,10031,Found Property,2390.1670833333333
2014,10031,Found Property,1758.1746836419752
2015,10031,Found Property,1306.5509259259259
2010,10032,Found Property,3140.30703125
2011,10032,Found Property,2662.6788078703703
2012,10032,Found Property,2476.795416666667
2013,10032,Found Property,2214.0118229166665
2015,10032,Found Property,1345.632789351852
2010,10033,Found Property,3140.1629398148148
2010,10033,Overgrown Tree/Branches,1152.9377604166666
2012,10033,Found Property,2430.472679398148
2013,10033,Found Property,2012.8120370370368
2014,10033,Found Property,1348.2014756944445
2011,10034,Illegal Tree Damage,696.7249594907407
2011,10034,Overgrown Tree/Branches,633.5959837962963
2012,10034,Found Property,2434.2472743055555
2015,10034,Found Property,1142.8163773148149
2016,10034,Found Property,801.1839583333333
2011,10035,Found Property,2781.88515625
2012,10035,Found Property,2427.775688657407
2012,10035,Stalled Sites,2304.3789814814813
2013,10035,FATF,1498.7256944444443
2015,10035,Found Property,1175.6465856481482
2010,10036,Found Property,3011.228206018518
2011,10036,Found Property,2789.659946338384
2012,10036,Found Property,2321.393927819865
2013,10036,Found Property,2035.7188630698006
2014,10036,Found Property,1652.8247970679013
2010,10037,Forensic Engineering,2308.1130787037036
2012,10037,Forensic Engineering,755.1967245370371
2013,10037,Found Property,1971.7033449074074
2015,10037,Found Property,1327.2579398148148
2016,10037,Overgrown Tree/Branches,694.1637731481482
2010,10038,Found Property,3118.5629427083336
2011,10038,Found Property,1833.3086381172836
2012,10038,Found Property,1718.6182605820104
2012,10038,School Maintenance,1282.5889351851852
2013,10038,Found Property,2078.753347800926
2010,10039,Forensic Engineering,2308.1219068287037
2010,10039,Special Projects Inspection Team (SPIT),1035.688912037037
2012,10039,Found Property,2252.434108796296
2012,10039,Plumbing,982.0948418209877
2016,10039,Street Sign - Missing,748.2778935185186
2014,10040,Found Property,1789.9432407407407
2015,10040,Quality of Life,1465.3756365740742
2015,10040,Found Property,1274.8164351851851
2016,10040,Found Property,982.5869791666668
2016,10040,New Tree Request,651.9864414983163
2016,10041,General Construction/Plumbing,600.7225231481482
2016,10041,Special Projects Inspection Team (SPIT),154.35431712962964
2017,10041,For Hire Vehicle Complaint,91.55893518518519
2018,10041,Taxi Complaint,79.19349041005289
2019,10041,For Hire Vehicle Complaint,112.83387731481481
2010,10044,New Tree Request,2052.0207291666666
2010,10044,Street Light Condition,954.2894097222222
2011,10044,General Construction/Plumbing,809.2394097222223
2012,10044,Found Property,2505.194826388889
2015,10044,ATF,592.0
2012,10045,Emergency Response Team (ERT),6.928136574074074
2016,10045,Noise,6.197222222222222
2017,10045,Taxi Complaint,24.85369212962963
2017,10045,Noise,6.022222222222222
2018,10045,Noise,9.000694444444445
2010,10048,Street Sign - Missing,404.0023611111111
2010,10048,Consumer Complaint,372.9103935185185
2010,10048,Bus Stop Shelter Complaint,118.9754050925926
2010,10048,Street Light Condition,117.22638888888889
2012,10048,Found Property,2363.137673611111
2016,10055,Building/Use,412.8892939814815
2016,10055,Sustainability Enforcement,10.348402777777778
2018,10055,Found Property,309.72314814814814
2018,10055,Special Projects Inspection Team (SPIT),34.07086419753086
2019,10055,Taxi Complaint,6.25244212962963
2010,10069,Overgrown Tree/Branches,1282.925289351852
2011,10069,Found Property,2884.3628125
2013,10069,Found Property,1888.2331597222221
2014,10069,Found Property,1683.2303587962963
2015,10069,Found Property,1319.9578819444444
2015,10103,Special Projects Inspection Team (SPIT),267.63233796296294
2016,10103,Dead/Dying Tree,93.13712962962963
2016,10103,Food Establishment,60.854247685185186
2017,10103,Graffiti,67.92091435185185
2017,10103,Food Establishment,60.749456018518515
2012,10104,Broken Muni Meter,24.602592592592593
2012,10104,Sidewalk Condition,10.137731481481481
2013,10104,Broken Muni Meter,29.366385030864198
2014,10104,Housing Options,3.930011574074074
2017,10104,Taxi Complaint,19.779641203703704
2017,10105,Miscellaneous Categories,244.29385416666668
2017,10105,DOF Property - Payment Issue,98.05262152777779
2017,10105,Construction Safety Enforcement,67.60851851851852
2018,10105,Taxi Complaint,130.96196180555557
2019,10105,For Hire Vehicle Complaint,65.58615740740741
2017,10106,Food Establishment,60.43172067901235
2017,10106,PLUMBING,44.32318287037037
2018,10106,Taxi Complaint,145.6705902777778
2018,10106,Bus Stop Shelter Placement,46.61306712962963
2019,10106,Special Projects Inspection Team (SPIT),20.55457175925926
2012,10107,Elevator,554.6148263888889
2013,10107,Elevator,266.0768113425926
2013,10107,Taxi Complaint,41.20263310185185
2014,10107,Taxi Complaint,320.0290972222222
2018,10107,Plumbing,100.33510416666667
2016,10110,Graffiti,270.26711805555556
2017,10110,Food Establishment,60.73595293209877
2017,10110,For Hire Vehicle Complaint,53.90719907407407
2018,10110,New Tree Request,108.6008101851852
2019,10110,General Construction/Plumbing,60.56412037037037
2014,10111,New Tree Request,413.22600694444446
2015,10111,Taxi Complaint,91.9503587962963
2018,10111,Taxi Complaint,77.69756365740741
2018,10111,Food Establishment,60.84915509259259
2019,10111,Taxi Complaint,73.71258101851852
2013,10112,Taxi Complaint,97.33530092592594
2017,10112,Water System,158.6861111111111
2018,10112,Graffiti,78.50633101851852
2018,10112,Taxi Complaint,77.87833796296295
2018,10112,For Hire Vehicle Complaint,74.81181712962963
2017,10115,Recycling Enforcement,23.733333333333334
2018,10115,Taxi Complaint,119.34248842592592
2018,10115,Elevator,70.52194444444444
2018,10115,Food Establishment,60.71483796296296
2018,10115,Maintenance or Facility,23.16409722222222
2017,10118,Found Property,749.8503587962963
2017,10118,General Construction/Plumbing,146.62751543209876
2017,10118,Graffiti,78.42247106481481
2018,10118,For Hire Vehicle Complaint,115.60331018518518
2018,10118,Taxi Complaint,112.49781250000001
2013,10119,Cranes and Derricks,553.4780208333333
2013,10119,Bike Rack Condition,255.47238425925923
2014,10119,Water System,384.79791666666665
2015,10119,Found Property,1413.1871296296297
2018,10119,For Hire Vehicle Complaint,101.16286747685186
2017,10120,Graffiti,134.48747685185185
2017,10120,Rodent,21.5
2018,10120,Sewer,77.50694444444444
2018,10120,For Hire Vehicle Complaint,59.01454861111111
2018,10120,General Construction/Plumbing,29.292002314814816
2011,10121,General Construction/Plumbing,530.1595177469136
2014,10121,Special Projects Inspection Team (SPIT),1057.2161805555556
2016,10121,Special Projects Inspection Team (SPIT),232.2074537037037
2017,10121,Found Property,680.6007908950618
2019,10121,Taxi Complaint,82.57795283564815
2014,10122,For Hire Vehicle Complaint,92.8891087962963
2015,10122,For Hire Vehicle Complaint,44.726226851851855
2015,10122,Taxi Complaint,41.695162037037036
2017,10122,Facades,83.55285879629629
2018,10122,Graffiti,109.68333333333334
2014,10123,Food Establishment,60.809502314814814
2016,10123,Special Projects Inspection Team (SPIT),606.5743518518518
2016,10123,Food Establishment,60.65952546296296
2017,10123,Food Establishment,60.632962962962964
2019,10123,Taxi Complaint,78.48255787037037
2010,10128,Found Property,3136.3080292508416
2011,10128,Found Property,2789.7275057870374
2012,10128,Found Property,2409.2757847222215
2013,10128,Found Property,2007.2414557613167
2014,10128,Found Property,1681.4889120370372
2017,10151,Rodent,27.0
2018,10151,For Hire Vehicle Complaint,126.70065972222221
2018,10151,DRIE,36.11887731481482
2018,10151,Elevator,24.562905092592594
2019,10151,Elevator,42.46011574074074
2017,10152,DOF Property - Payment Issue,40.719791666666666
2017,10152,Recycling Enforcement,22.914583333333333
2017,10152,Sidewalk Condition,6.530438161375662
2018,10152,Taxi Complaint,77.62709490740741
2018,10152,Street Sign - Damaged,23.786905864197532
2013,10153,Taxi Complaint,79.78505787037037
2016,10153,New Tree Request,928.986412037037
2017,10153,General Construction/Plumbing,159.00545910493827
2018,10153,Taxi Complaint,182.65146990740743
2018,10153,Sewer,69.25277777777778
2016,10154,New Tree Request,928.8128935185185
2017,10154,Found Property,529.1944212962962
2017,10154,Taxi Complaint,39.69400462962963
2019,10154,Taxi Complaint,104.71399305555556
2019,10154,Food Establishment,60.908796296296295
2016,10155,New Tree Request,592.3202199074074
2016,10155,Taxi Complaint,27.66974537037037
2017,10155,For Hire Vehicle Complaint,386.6398726851852
2017,10155,Taxi Complaint,47.86386574074074
2018,10155,Street Condition,25.834879629629633
2017,10158,For Hire Vehicle Complaint,71.40668981481481
2018,10158,Taxi Complaint,56.019189814814816
2018,10158,General Construction/Plumbing,48.65034722222222
2018,10158,For Hire Vehicle Complaint,41.99362268518519
2019,10158,For Hire Vehicle Complaint,86.03409722222223
2010,10162,General Construction/Plumbing,708.6605246913581
2013,10162,Overgrown Tree/Branches,412.8128645833333
2014,10162,Elevator,305.4359259259259
2015,10162,UNSANITARY CONDITION,338.8600925925926
2015,10162,ELEVATOR,338.8600925925926
2015,10165,General Construction/Plumbing,1087.3986921296296
2016,10165,Sustainability Enforcement,102.45689814814814
2016,10165,For Hire Vehicle Complaint,79.83954861111111
2018,10165,For Hire Vehicle Complaint,87.62208333333334
2019,10165,Taxi Complaint,60.85666666666667
2016,10166,Food Establishment,60.952083333333334
2016,10166,Street Condition,1.9272337962962962
2017,10166,Taxi Complaint,0.9133680555555556
2015,10167,Construction Safety Enforcement,43.308113425925924
2016,10167,Sustainability Enforcement,60.98802083333334
2017,10167,Food Establishment,60.773715277777775
2018,10167,New Tree Request,128.7500347222222
2018,10167,Taxi Complaint,102.07087384259259
2016,10168,Found Property,858.9862152777778
2016,10168,Taxi Complaint,33.82488715277778
2017,10168,Sewer,28.97361111111111
2018,10168,Taxi Complaint,87.96908796296296
2019,10168,Taxi Complaint,77.45133969907408
2017,10169,Graffiti,124.38170138888889
2017,10169,General Construction/Plumbing,75.01597511574074
2017,10169,Food Establishment,60.560138888888886
2018,10169,New Tree Request,128.75125578703705
2019,10169,Taxi Complaint,62.3707349537037
2016,10170,Taxi Complaint,32.462806712962966
2017,10170,General Construction/Plumbing,377.5192939814815
2017,10170,Taxi Complaint,29.984807098765433
2018,10170,Taxi Complaint,38.9318287037037
2018,10170,DOF Property - Payment Issue,25.89275462962963
2016,10171,Sustainability Enforcement,21.571770833333332
2017,10171,Street Condition,48.226990740740746
2017,10171,General Construction/Plumbing,19.49923611111111
2018,10171,Food Establishment,60.75637731481481
2019,10171,Special Projects Inspection Team (SPIT),19.580717592592592
2017,10172,Found Property,647.0387962962963
2018,10172,Sewer,109.68541666666667
2018,10172,Taxi Complaint,83.0844425154321
2018,10172,Food Establishment,60.70402777777778
2019,10172,Food Establishment,60.62398148148148
2016,10173,Public Payphone Complaint,21.251828703703705
2017,10173,General Construction/Plumbing,299.6602199074074
2017,10173,Graffiti,58.31677083333334
2017,10173,Consumer Complaint,15.366631944444444
2019,10173,Sidewalk Condition,38.17517361111111
2016,10174,Construction Safety Enforcement,27.36148148148148
2016,10174,Rodent,12.0
2018,10174,Taxi Complaint,147.11961805555555
2018,10174,Street Condition,5.763449074074074
2018,10174,Noise,3.599305555555555
2017,10175,Graffiti,173.48167824074073
2017,10175,Animal Abuse,0.21957175925925926
2018,10175,Special Projects Inspection Team (SPIT),143.33108796296295
2018,10175,Dirty Conditions,0.7916666666666666
2016,10176,For Hire Vehicle Complaint,47.829930555555556
2017,10176,General Construction/Plumbing,125.61785879629629
2017,10176,Food Establishment,60.65892361111111
2018,10176,For Hire Vehicle Complaint,76.02171682098766
2018,10176,Broken Parking Meter,16.077349537037037
2017,10177,Taxi Complaint,34.13489583333333
2018,10177,Taxi Complaint,136.82260416666668
2018,10177,New Tree Request,128.74868055555555
2019,10177,UNSANITARY CONDITION,42.58582175925926
2019,10177,DOF Property - Reduction Issue,15.343483796296296
2017,10178,Taxi Complaint,25.69931712962963
2017,10178,Broken Muni Meter,19.80377314814815
2018,10178,Taxi Complaint,32.026238425925925
2018,10178,Special Projects Inspection Team (SPIT),21.563449074074075
2019,10178,Beach/Pool/Sauna Complaint,10.758611111111112
2017,10270,Taxi Complaint,24.655949074074073
2016,10271,Found Property,1010.1649537037038
2017,10271,Found Property,726.6522974537037
2017,10271,Food Establishment,60.64925925925926
2019,10271,Taxi Complaint,97.3296412037037
2019,10271,General Construction/Plumbing,62.41965277777778
2011,10278,Traffic Signal Condition,643.3215277777778
2016,10278,New Tree Request,804.084224537037
2018,10278,Graffiti,91.39230324074074
2019,10278,For Hire Vehicle Complaint,113.16015046296296
2019,10278,Taxi Complaint,63.05104166666666
2011,10279,Stalled Sites,637.432349537037
2016,10279,Food Establishment,60.945459104938266
2017,10279,Food Establishment,60.71013888888889
2019,10279,Taxi Complaint,117.12193287037037
2019,10279,For Hire Vehicle Complaint,115.97372685185185
2010,10280,Found Property,3067.9762847222223
2011,10280,Found Property,2684.3767592592594
2012,10280,Found Property,2342.93875
2014,10280,Found Property,1535.8066087962964
2016,10280,New Tree Request,967.841099537037
2010,10281,Found Property,3099.520902777778
2012,10281,For Hire Vehicle Complaint,236.44237268518518
2014,10281,Found Property,1635.7866319444445
2016,10281,Found Property,901.1097800925926
2017,10281,DOF Property - Payment Issue,238.81436342592593
2011,10282,Found Property,2868.084953703704
2012,10282,Found Property,2385.0261805555556
2012,10282,General Construction/Plumbing,947.5985763888889
2013,10282,Found Property,1986.0588773148147
2014,10282,Found Property,1572.750787037037
2010,10301,Stalled Sites,1133.3051080246912
2010,10301,Root/Sewer/Sidewalk Condition,1004.5384882054674
2011,10301,Overgrown Tree/Branches,693.3177641782407
2012,10301,Stalled Sites,2569.4059375
2012,10301,Overgrown Tree/Branches,794.4011309989567
2010,10302,Overgrown Tree/Branches,836.4223815359475
2010,10302,Root/Sewer/Sidewalk Condition,604.5773125
2011,10302,Special Projects Inspection Team (SPIT),582.2713522376544
2012,10302,Overgrown Tree/Branches,903.274449845679
2012,10302,Special Projects Inspection Team (SPIT),871.6383680555556
2010,10303,Overgrown Tree/Branches,896.185794402357
2010,10303,Root/Sewer/Sidewalk Condition,814.2783912037038
2011,10303,Special Projects Inspection Team (SPIT),914.5313368055556
2012,10303,Illegal Tree Damage,792.7882899305555
2012,10303,Overgrown Tree/Branches,740.0023245370369
2010,10304,Stalled Sites,1658.6374228395061
2010,10304,Overgrown Tree/Branches,796.3786418737816
2010,10304,Root/Sewer/Sidewalk Condition,773.8283722222226
2011,10304,Stalled Sites,2793.6799189814815
2012,10304,Overgrown Tree/Branches,739.3130912755431
2010,10305,Root/Sewer/Sidewalk Condition,651.781136039886
2010,10305,Overgrown Tree/Branches,640.2017357982983
2011,10305,Overgrown Tree/Branches,868.1460941537468
2012,10305,Overgrown Tree/Branches,736.6529169926971
2015,10305,Stalled Sites,756.1682233796296
2010,10306,Stalled Sites,982.1954012345678
2010,10306,Overgrown Tree/Branches,792.8943439244036
2010,10306,Root/Sewer/Sidewalk Condition,708.7940842536814
2011,10306,Overgrown Tree/Branches,756.653631295167
2011,10306,Root/Sewer/Sidewalk Condition,715.0711464589589
2010,10307,Stalled Sites,1892.206550925926
2011,10307,Overgrown Tree/Branches,954.9641907051281
2011,10307,Special Projects Inspection Team (SPIT),890.6468297955975
2012,10307,Overgrown Tree/Branches,813.8069377436645
2012,10307,Special Projects Inspection Team (SPIT),802.9295975783475
2010,10308,Overgrown Tree/Branches,949.0772511574073
2010,10308,Special Projects Inspection Team (SPIT),824.7879269547325
2010,10308,Stalled Sites,712.1916956018518
2010,10308,Root/Sewer/Sidewalk Condition,698.949844393004
2012,10308,Overgrown Tree/Branches,731.739003776803
2010,10309,Stalled Sites,3307.652175925926
2010,10309,Root/Sewer/Sidewalk Condition,860.8996209490741
2011,10309,Special Projects Inspection Team (SPIT),790.926573319243
2011,10309,Overgrown Tree/Branches,675.8000552761813
2012,10309,Overgrown Tree/Branches,710.1931918942248
2010,10310,Overgrown Tree/Branches,914.2771154250842
2010,10310,Root/Sewer/Sidewalk Condition,799.55343123071
2011,10310,Special Projects Inspection Team (SPIT),1105.075289351852
2012,10310,Overgrown Tree/Branches,875.2104927248679
2016,10310,New Tree Request,902.0370295004311
2010,10312,Special Projects Inspection Team (SPIT),980.2395370370369
2010,10312,Overgrown Tree/Branches,940.0711995294472
2010,10312,Root/Sewer/Sidewalk Condition,769.105541820988
2011,10312,Special Projects Inspection Team (SPIT),918.8723090277776
2012,10312,Special Projects Inspection Team (SPIT),809.8694560185186
2010,10314,Overgrown Tree/Branches,936.2920218538432
2010,10314,Root/Sewer/Sidewalk Condition,750.0416020242319
2010,10314,Special Projects Inspection Team (SPIT),702.8670247395834
2011,10314,Overgrown Tree/Branches,686.5150813757434
2012,10314,Overgrown Tree/Branches,745.5619679762638
2011,10451,Illegal Tree Damage,1412.5250810185184
2011,10451,Root/Sewer/Sidewalk Condition,1156.0890972222223
2013,10451,Found Property,2200.126521990741
2014,10451,Found Property,1627.2189351851853
2015,10451,Facades,1308.381574074074
2010,10452,Stalled Sites,2013.0106828703704
2010,10452,Special Projects Inspection Team (SPIT),995.2336226851852
2010,10452,Damaged Tree,791.8122579089505
2010,10452,Illegal Tree Damage,700.600480324074
2016,10452,Forensic Engineering,1058.3867592592592
2010,10453,Found Property,3091.9289236111113
2010,10453,Root/Sewer/Sidewalk Condition,841.0593680555555
2011,10453,Root/Sewer/Sidewalk Condition,926.4170920138888
2012,10453,Stalled Sites,2468.255451388889
2014,10453,Forensic Engineering,1035.3660300925926
2010,10454,Overgrown Tree/Branches,986.878850308642
2012,10454,Root/Sewer/Sidewalk Condition,943.3568827160494
2014,10454,Highway Sign - Damaged,737.0424537037037
2015,10454,Found Property,1455.8010069444445
2015,10454,Quality of Life,805.1721064814815
2010,10455,Damaged Tree,915.2407460826211
2011,10455,Found Property,2609.580104166667
2011,10455,Stalled Sites,1770.3608449074075
2011,10455,Illegal Tree Damage,1420.9943441358025
2011,10455,Root/Sewer/Sidewalk Condition,913.5224791666667
2010,10456,Overgrown Tree/Branches,857.6787191358025
2011,10456,Illegal Tree Damage,1175.4317052469135
2011,10456,Root/Sewer/Sidewalk Condition,935.6022119341562
2012,10456,Root/Sewer/Sidewalk Condition,811.7153602430556
2012,10456,Illegal Tree Damage,753.6520543981482
2010,10457,Stalled Sites,3043.3806365740743
2010,10457,Dead Tree,892.0877546296297
2011,10457,Illegal Tree Damage,1376.934386574074
2012,10457,Found Property,2429.6163657407405
2013,10457,Stalled Sites,1504.5783217592593
2010,10458,Root/Sewer/Sidewalk Condition,1156.8167997685186
2010,10458,Dead Tree,732.5280621693122
2011,10458,Found Property,2666.871099537037
2011,10458,Root/Sewer/Sidewalk Condition,737.3526759259261
2014,10458,Building Marshals office,765.8073919753086
2010,10459,Found Property,3166.785578703704
2010,10459,Overgrown Tree/Branches,1531.5962037037038
2010,10459,Illegal Tree Damage,1528.3018171296296
2011,10459,Illegal Tree Damage,1432.9852083333333
2011,10459,Root/Sewer/Sidewalk Condition,1088.3745555555556
2010,10460,Illegal Tree Damage,1784.0496064814815
2010,10460,Root/Sewer/Sidewalk Condition,947.9938738425926
2010,10460,Overgrown Tree/Branches,801.1830237268517
2011,10460,Root/Sewer/Sidewalk Condition,750.6988811728396
2012,10460,Root/Sewer/Sidewalk Condition,744.0135807291667
2010,10461,Dead Tree,845.800765174897
2011,10461,Root/Sewer/Sidewalk Condition,774.20519379845
2014,10461,Found Property,1563.1665625
2014,10461,Forensic Engineering,1270.301099537037
2017,10461,Found Property,760.9123611111111
2010,10462,Root/Sewer/Sidewalk Condition,1099.426793981481
2010,10462,Overgrown Tree/Branches,837.7239128086421
2011,10462,Root/Sewer/Sidewalk Condition,922.533503787879
2012,10462,Cranes and Derricks,1116.4655902777777
2012,10462,Illegal Tree Damage,1085.0287037037037
2010,10463,Root/Sewer/Sidewalk Condition,1256.0717476851848
2011,10463,Root/Sewer/Sidewalk Condition,1087.1484363977074
2012,10463,Root/Sewer/Sidewalk Condition,909.1155298353909
2014,10463,Found Property,1776.5828703703703
2016,10463,Found Property,978.1197685185185
2010,10464,Special Projects Inspection Team (SPIT),1454.5394560185184
2011,10464,Root/Sewer/Sidewalk Condition,857.3722280092593
2011,10464,Special Projects Inspection Team (SPIT),857.2925983796297
2011,10464,Illegal Tree Damage,742.8038425925926
2012,10464,Root/Sewer/Sidewalk Condition,743.9559143518519
2010,10465,Illegal Tree Damage,935.7575347222222
2010,10465,Overgrown Tree/Branches,830.0596378600823
2010,10465,Special Projects Inspection Team (SPIT),813.9295601851851
2013,10465,Boilers,785.8145052083333
2014,10465,Construction Safety Enforcement,1302.7052083333333
